actual,proposed
0.0,0.19736707210540771
0.0,0.19469866156578064
0.0,0.1920643150806427
0.0,0.1894344687461853
0.0,0.18684068322181702
0.0,0.18431192636489868
0.0,0.18188022077083588
0.0,0.1795073002576828
0.0,0.177095428109169
0.0,0.17470940947532654
0.0,0.17247509956359863
0.0,0.17035894095897675
0.0,0.16825330257415771
0.0,0.16616547107696533
0.0,0.1640537977218628
0.0,0.16201891005039215
0.0,0.1600281447172165
0.0,0.15804462134838104
0.0,0.15613648295402527
0.0,0.15428972244262695
0.0,0.15248079597949982
0.0,0.15070293843746185
0.0,0.1489577293395996
0.0,0.14724138379096985
0.0,0.14549094438552856
0.0,0.14376519620418549
0.0,0.1421019285917282
0.0,0.14043104648590088
0.0,0.13878537714481354
0.0,0.1371961534023285
0.0,0.13566060364246368
0.0,0.13414661586284637
0.0,0.13268084824085236
0.0,0.1312336027622223
0.0,0.12980149686336517
0.0,0.12844935059547424
0.0,0.12714166939258575
0.0,0.12584464251995087
0.0,0.12458983808755875
0.0,0.12331100553274155
0.0,0.1220409944653511
0.0,0.12074694037437439
0.0,0.11942941695451736
0.0,0.11812090128660202
0.0,0.11682117730379105
0.0,0.11562608927488327
0.0,0.11446883529424667
0.0,0.11331386864185333
0.0,0.11222615838050842
0.0,0.11117137223482132
0.0,0.11014742404222488
0.0,0.1091865599155426
0.0,0.1082533672451973
0.0,0.10731476545333862
0.0,0.10640320181846619
0.0,0.10551745444536209
0.0,0.10465619713068008
0.0,0.10375513136386871
0.0,0.10294334590435028
0.0,0.10221821069717407
0.0,0.10147926956415176
0.0,0.10076062381267548
0.0,0.10006015747785568
